Episode,Steps,Reward,Epsilon,Memory_Size,Win,Timestamp
1,1,-1.0,0.995,1,0,2025-02-02 12:55:50
2,2,1.0,0.990025,3,1,2025-02-02 12:55:53
3,1,1.0,0.985074875,4,1,2025-02-02 12:55:54
4,1,-1.0,0.9801495006250001,5,0,2025-02-02 12:55:55
5,1,-1.0,0.9752487531218751,6,0,2025-02-02 12:55:56
6,1,-1.0,0.9703725093562657,7,0,2025-02-02 12:55:58
7,1,-1.0,0.9655206468094844,8,0,2025-02-02 12:55:59
8,1,-1.0,0.960693043575437,9,0,2025-02-02 12:56:00
9,2,1.0,0.9558895783575597,11,1,2025-02-02 12:56:02
10,2,-1.0,0.9511101304657719,13,0,2025-02-02 12:56:04
11,1,1.0,0.946354579813443,14,1,2025-02-02 12:56:06
12,1,0.0,0.9416228069143757,15,0,2025-02-02 12:56:07
13,2,-1.0,0.9369146928798039,17,0,2025-02-02 12:56:09
14,1,1.0,0.9322301194154049,18,1,2025-02-02 12:56:10
15,1,-1.0,0.9275689688183278,19,0,2025-02-02 12:56:12
16,1,1.0,0.9229311239742362,20,1,2025-02-02 12:56:13
17,1,0.0,0.918316468354365,21,0,2025-02-02 12:56:14
18,1,-1.0,0.9137248860125932,22,0,2025-02-02 12:56:15
19,1,-1.0,0.9091562615825302,23,0,2025-02-02 12:56:17
20,1,-1.0,0.9046104802746175,24,0,2025-02-02 12:56:18
21,1,-1.0,0.9000874278732445,25,0,2025-02-02 12:56:19
22,1,-1.0,0.8955869907338783,26,0,2025-02-02 12:56:21
23,1,-1.0,0.8911090557802088,27,0,2025-02-02 12:56:22
24,2,-1.0,0.8866535105013078,29,0,2025-02-02 12:56:24
25,1,0.0,0.8822202429488013,30,0,2025-02-02 12:56:25
