Episode,Steps,Reward,Epsilon,Memory_Size,Win,Timestamp
1,2,1.0,0.995,2,1,2025-02-02 12:49:00
2,1,-1.0,0.990025,3,0,2025-02-02 12:49:02
3,1,-1.0,0.985074875,4,0,2025-02-02 12:49:03
4,1,1.0,0.9801495006250001,5,1,2025-02-02 12:49:04
5,1,1.0,0.9752487531218751,6,1,2025-02-02 12:49:05
6,1,-1.0,0.9703725093562657,7,0,2025-02-02 12:49:07
7,1,-1.0,0.9655206468094844,8,0,2025-02-02 12:49:08
8,1,-1.0,0.960693043575437,9,0,2025-02-02 12:49:09
9,1,-1.0,0.9558895783575597,10,0,2025-02-02 12:49:11
10,1,-1.0,0.9511101304657719,11,0,2025-02-02 12:49:12
